GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,House/Bungalow,Flat/Apartment/BedSit,Caravan/Mobile home/Temperory,% House/Bungalow,% Flat/Apartment/BedSit,% Caravan/Mobile home/Temperory
N00000118,18606,Templepatrick,95AA18,Antrim,NI,112,58,0,65.9,34.1,0
N00000119,18607,Templepatrick,95AA18,Antrim,NI,128,2,0,98.5,1.5,0
N00000120,18608,Templepatrick,95AA18,Antrim,NI,132,1,0,99.2,0.8,0
N00000121,18609,Templepatrick,95AA18,Antrim,NI,124,2,0,98.4,1.6,0
N00000122,18610,Templepatrick,95AA18,Antrim,NI,185,28,0,86.9,13.1,0
N00000123,18611,Templepatrick,95AA18,Antrim,NI,136,10,0,93.2,6.8,0
N00000124,18612,Templepatrick,95AA18,Antrim,NI,145,13,0,91.8,8.2,0
N00000125,18613,Toome,95AA19,Antrim,NI,147,0,1,99.3,0,0.7
N00000126,18614,Toome,95AA19,Antrim,NI,135,2,1,97.8,1.4,0.7
N00000127,18615,Toome,95AA19,Antrim,NI,132,1,0,99.2,0.8,0
N00000128,18616,Toome,95AA19,Antrim,NI,281,8,2,96.6,2.7,0.7
N00000129,18617,Toome,95AA19,Antrim,NI,136,2,0,98.6,1.4,0
N00000130,18618,Ballygowan,95BB01,Ards,NI,159,0,0,100,0,0
N00000131,18619,Ballygowan,95BB01,Ards,NI,145,0,0,100,0,0
N00000132,18620,Ballygowan,95BB01,Ards,NI,133,0,0,100,0,0
N00000133,18621,Ballygowan,95BB01,Ards,NI,138,2,0,98.6,1.4,0
N00000134,18622,Ballygowan,95BB01,Ards,NI,164,20,0,89.1,10.9,0
N00000135,18623,Ballygowan,95BB01,Ards,NI,125,0,0,100,0,0
N00000136,18624,Ballygowan,95BB01,Ards,NI,181,10,0,94.8,5.2,0
N00000137,18625,Ballygowan,95BB01,Ards,NI,123,0,0,100,0,0
N00000138,18626,Ballygowan,95BB01,Ards,NI,156,0,0,100,0,0
N00000139,18627,Ballyrainey,95BB02,Ards,NI,102,35,0,74.5,25.5,0
N00000140,18628,Ballyrainey,95BB02,Ards,NI,145,19,0,88.4,11.6,0
N00000141,18629,Ballyrainey,95BB02,Ards,NI,151,73,0,67.4,32.6,0
N00000142,18630,Ballyrainey,95BB02,Ards,NI,98,0,0,100,0,0
N00000143,18631,Ballyrainey,95BB02,Ards,NI,54,78,0,40.9,59.1,0
N00000144,18632,Ballyrainey,95BB02,Ards,NI,59,56,0,51.3,48.7,0
N00000145,18633,Ballyrainey,95BB02,Ards,NI,34,42,0,44.7,55.3,0
N00000146,18634,Ballyrainey,95BB02,Ards,NI,111,3,0,97.4,2.6,0
N00000147,18635,Ballyrainey,95BB02,Ards,NI,80,27,0,74.8,25.2,0
N00000148,18636,Ballywalter,95BB03,Ards,NI,287,19,0,93.8,6.2,0
N00000149,18637,Ballywalter,95BB03,Ards,NI,200,2,0,99,1,0
N00000150,18638,Ballywalter,95BB03,Ards,NI,158,0,0,100,0,0
N00000151,18639,Ballywalter,95BB03,Ards,NI,149,11,0,93.1,6.9,0
N00000152,18640,Ballywalter,95BB03,Ards,NI,130,6,0,95.6,4.4,0
N00000153,18641,Ballywalter,95BB03,Ards,NI,114,3,0,97.4,2.6,0
N00000154,18642,Ballywalter,95BB03,Ards,NI,122,0,0,100,0,0
N00000155,18643,Ballywalter,95BB03,Ards,NI,142,2,0,98.6,1.4,0
N00000156,18644,Ballywalter,95BB03,Ards,NI,131,0,0,100,0,0
N00000157,18645,Ballywalter,95BB03,Ards,NI,151,0,1,99.3,0,0.7
N00000158,18646,Ballywalter,95BB03,Ards,NI,297,4,41,86.8,1.2,12
N00000159,18647,Bradshaw's Brae,95BB04,Ards,NI,108,14,0,88.5,11.5,0
N00000160,18648,Bradshaw's Brae,95BB04,Ards,NI,124,3,0,97.6,2.4,0
N00000161,18649,Bradshaw's Brae,95BB04,Ards,NI,131,2,0,98.5,1.5,0
N00000162,18650,Bradshaw's Brae,95BB04,Ards,NI,115,4,0,96.6,3.4,0
N00000163,18651,Bradshaw's Brae,95BB04,Ards,NI,123,41,0,75,25,0
N00000164,18652,Bradshaw's Brae,95BB04,Ards,NI,125,0,0,100,0,0
N00000165,18653,Bradshaw's Brae,95BB04,Ards,NI,138,0,0,100,0,0
N00000166,18654,Bradshaw's Brae,95BB04,Ards,NI,125,0,0,100,0,0
N00000167,18655,Bradshaw's Brae,95BB04,Ards,NI,149,10,0,93.7,6.3,0
N00000168,18656,Bradshaw's Brae,95BB04,Ards,NI,146,0,0,100,0,0
N00000169,18657,Carrowdore,95BB05,Ards,NI,293,11,1,96.1,3.6,0.3
N00000170,18658,Carrowdore,95BB05,Ards,NI,143,0,0,100,0,0
N00000171,18659,Carrowdore,95BB05,Ards,NI,151,1,0,99.3,0.7,0
N00000172,18660,Carrowdore,95BB05,Ards,NI,328,9,0,97.3,2.7,0
N00000173,18661,Carrowdore,95BB05,Ards,NI,152,0,0,100,0,0
N00000174,18662,Carrowdore,95BB05,Ards,NI,168,2,0,98.8,1.2,0
N00000175,18663,Carrowdore,95BB05,Ards,NI,145,1,0,99.3,0.7,0
N00000176,18664,Central,95BB06,Ards,NI,202,10,0,95.3,4.7,0
N00000177,18665,Central,95BB06,Ards,NI,137,56,0,71,29,0
N00000178,18666,Central,95BB06,Ards,NI,299,75,0,79.9,20.1,0
N00000179,18667,Central,95BB06,Ards,NI,335,224,0,59.9,40.1,0
N00000180,18668,Central,95BB06,Ards,NI,110,27,0,80.3,19.7,0
N00000181,18669,Central,95BB06,Ards,NI,95,100,0,48.7,51.3,0
N00000182,18670,Comber East,95BB07,Ards,NI,109,1,0,99.1,0.9,0
N00000183,18671,Comber East,95BB07,Ards,NI,138,19,0,87.9,12.1,0
N00000184,18672,Comber East,95BB07,Ards,NI,105,108,0,49.3,50.7,0
N00000185,18673,Comber East,95BB07,Ards,NI,85,41,0,67.5,32.5,0
N00000186,18674,Comber East,95BB07,Ards,NI,135,10,0,93.1,6.9,0
N00000187,18675,Comber East,95BB07,Ards,NI,102,24,0,81,19,0
N00000188,18676,Comber East,95BB07,Ards,NI,132,0,0,100,0,0
N00000189,18677,Comber East,95BB07,Ards,NI,126,0,1,99.2,0,0.8
N00000190,18678,Comber East,95BB07,Ards,NI,122,0,0,100,0,0
N00000191,18679,Comber East,95BB07,Ards,NI,125,0,0,100,0,0
N00000192,18680,Comber North,95BB08,Ards,NI,121,0,0,100,0,0
N00000193,18681,Comber North,95BB08,Ards,NI,96,15,0,86.5,13.5,0
N00000194,18682,Comber North,95BB08,Ards,NI,122,1,0,99.2,0.8,0
N00000195,18683,Comber North,95BB08,Ards,NI,125,0,0,100,0,0
N00000196,18684,Comber North,95BB08,Ards,NI,115,1,0,99.1,0.9,0
N00000197,18685,Comber North,95BB08,Ards,NI,118,0,0,100,0,0
N00000198,18686,Comber North,95BB08,Ards,NI,109,1,0,99.1,0.9,0
N00000199,18687,Comber North,95BB08,Ards,NI,129,2,0,98.5,1.5,0
N00000200,18688,Comber North,95BB08,Ards,NI,124,4,0,96.9,3.1,0
N00000201,18689,Comber West,95BB09,Ards,NI,141,9,0,94,6,0
N00000202,18690,Comber West,95BB09,Ards,NI,126,13,0,90.6,9.4,0
N00000203,18691,Comber West,95BB09,Ards,NI,136,0,0,100,0,0
N00000204,18692,Comber West,95BB09,Ards,NI,155,0,0,100,0,0
N00000205,18693,Comber West,95BB09,Ards,NI,122,0,1,99.2,0,0.8
N00000206,18694,Comber West,95BB09,Ards,NI,164,75,0,68.6,31.4,0
N00000207,18695,Comber West,95BB09,Ards,NI,135,1,0,99.3,0.7,0
N00000208,18696,Comber West,95BB09,Ards,NI,121,8,0,93.8,6.2,0
N00000209,18697,Comber West,95BB09,Ards,NI,121,4,0,96.8,3.2,0
N00000210,18698,Donaghadee North,95BB10,Ards,NI,173,98,1,63.6,36,0.4
N00000211,18699,Donaghadee North,95BB10,Ards,NI,200,88,0,69.4,30.6,0
N00000212,18700,Donaghadee North,95BB10,Ards,NI,68,41,0,62.4,37.6,0
N00000213,18701,Donaghadee North,95BB10,Ards,NI,153,13,0,92.2,7.8,0
N00000214,18702,Donaghadee North,95BB10,Ards,NI,149,18,0,89.2,10.8,0
N00000215,18703,Donaghadee North,95BB10,Ards,NI,159,1,0,99.4,0.6,0
N00000216,18704,Donaghadee North,95BB10,Ards,NI,171,1,0,99.4,0.6,0
N00000217,18705,Donaghadee North,95BB10,Ards,NI,181,13,0,93.3,6.7,0
N00000218,18706,Donaghadee North,95BB10,Ards,NI,146,11,0,93,7,0
N00000219,18707,Donaghadee South,95BB11,Ards,NI,92,38,0,70.8,29.2,0
N00000220,18708,Donaghadee South,95BB11,Ards,NI,104,28,0,78.8,21.2,0
N00000221,18709,Donaghadee South,95BB11,Ards,NI,106,12,0,89.8,10.2,0
N00000222,18710,Donaghadee South,95BB11,Ards,NI,130,1,0,99.2,0.8,0
N00000223,18711,Donaghadee South,95BB11,Ards,NI,131,1,0,99.2,0.8,0
N00000224,18712,Donaghadee South,95BB11,Ards,NI,134,1,0,99.3,0.7,0
N00000225,18713,Donaghadee South,95BB11,Ards,NI,76,37,0,67.3,32.7,0
N00000226,18714,Donaghadee South,95BB11,Ards,NI,121,0,0,100,0,0
N00000227,18715,Donaghadee South,95BB11,Ards,NI,108,21,0,83.7,16.3,0
N00000228,18716,Donaghadee South,95BB11,Ards,NI,130,1,0,99.2,0.8,0
N00000229,18717,Donaghadee South,95BB11,Ards,NI,159,1,0,99.4,0.6,0
N00000230,18718,Glen,95BB12,Ards,NI,116,1,0,99.1,0.9,0
N00000231,18719,Glen,95BB12,Ards,NI,123,4,0,96.9,3.1,0
N00000232,18720,Glen,95BB12,Ards,NI,142,5,0,96.6,3.4,0
N00000233,18721,Glen,95BB12,Ards,NI,123,11,0,91.8,8.2,0
N00000234,18722,Glen,95BB12,Ards,NI,107,31,0,77.5,22.5,0
N00000235,18723,Glen,95BB12,Ards,NI,132,0,0,100,0,0
N00000236,18724,Glen,95BB12,Ards,NI,115,0,0,100,0,0
N00000237,18725,Glen,95BB12,Ards,NI,151,0,0,100,0,0
N00000238,18726,Glen,95BB12,Ards,NI,130,0,0,100,0,0
N00000239,18727,Gregstown,95BB13,Ards,NI,120,1,0,99.2,0.8,0
N00000240,18728,Gregstown,95BB13,Ards,NI,136,1,0,99.3,0.7,0
N00000241,18729,Gregstown,95BB13,Ards,NI,137,1,0,99.3,0.7,0
N00000242,18730,Gregstown,95BB13,Ards,NI,122,1,0,99.2,0.8,0
N00000243,18731,Gregstown,95BB13,Ards,NI,116,0,0,100,0,0
N00000244,18732,Gregstown,95BB13,Ards,NI,106,15,0,87.6,12.4,0
N00000245,18733,Gregstown,95BB13,Ards,NI,118,11,0,91.5,8.5,0
N00000246,18734,Gregstown,95BB13,Ards,NI,125,8,0,94,6,0
N00000247,18735,Gregstown,95BB13,Ards,NI,124,0,0,100,0,0
N00000248,18736,Gregstown,95BB13,Ards,NI,125,1,0,99.2,0.8,0
N00000249,18737,Gregstown,95BB13,Ards,NI,132,0,0,100,0,0
N00000250,18738,Gregstown,95BB13,Ards,NI,167,2,0,98.8,1.2,0
N00000251,18739,Gregstown,95BB13,Ards,NI,157,2,0,98.7,1.3,0
N00000252,18740,Killinchy,95BB14,Ards,NI,143,0,1,99.3,0,0.7
N00000253,18741,Killinchy,95BB14,Ards,NI,184,0,0,100,0,0
N00000254,18742,Killinchy,95BB14,Ards,NI,124,0,0,100,0,0
N00000255,18743,Killinchy,95BB14,Ards,NI,138,0,0,100,0,0
N00000256,18744,Killinchy,95BB14,Ards,NI,325,11,0,96.7,3.3,0
N00000257,18745,Killinchy,95BB14,Ards,NI,178,0,0,100,0,0
N00000258,18746,Killinchy,95BB14,Ards,NI,147,0,0,100,0,0
N00000259,18747,Kircubbin,95BB15,Ards,NI,171,0,0,100,0,0
N00000260,18748,Kircubbin,95BB15,Ards,NI,242,0,1,99.6,0,0.4
N00000261,18749,Kircubbin,95BB15,Ards,NI,199,1,1,99,0.5,0.5
N00000262,18750,Kircubbin,95BB15,Ards,NI,167,0,0,100,0,0
N00000263,18751,Kircubbin,95BB15,Ards,NI,121,7,0,94.5,5.5,0
N00000264,18752,Kircubbin,95BB15,Ards,NI,199,1,2,98.5,0.5,1
N00000265,18753,Kircubbin,95BB15,Ards,NI,160,1,0,99.4,0.6,0
N00000266,18754,Kircubbin,95BB15,Ards,NI,134,1,0,99.3,0.7,0
N00000267,18755,Lisbane,95BB16,Ards,NI,154,1,0,99.4,0.6,0
N00000268,18756,Lisbane,95BB16,Ards,NI,145,0,0,100,0,0
N00000269,18757,Lisbane,95BB16,Ards,NI,150,1,0,99.3,0.7,0
N00000270,18758,Lisbane,95BB16,Ards,NI,142,1,0,99.3,0.7,0
N00000271,18759,Lisbane,95BB16,Ards,NI,146,1,0,99.3,0.7,0
N00000272,18760,Lisbane,95BB16,Ards,NI,137,1,0,99.3,0.7,0
N00000273,18761,Lisbane,95BB16,Ards,NI,165,5,0,97.1,2.9,0
N00000274,18762,Lisbane,95BB16,Ards,NI,181,1,0,99.5,0.5,0
N00000275,18763,Loughries,95BB17,Ards,NI,130,0,0,100,0,0
N00000276,18764,Loughries,95BB17,Ards,NI,126,1,0,99.2,0.8,0
N00000277,18765,Loughries,95BB17,Ards,NI,119,0,0,100,0,0
N00000278,18766,Loughries,95BB17,Ards,NI,125,0,0,100,0,0
N00000279,18767,Loughries,95BB17,Ards,NI,77,9,0,89.5,10.5,0
N00000280,18768,Loughries,95BB17,Ards,NI,154,4,0,97.5,2.5,0
N00000281,18769,Loughries,95BB17,Ards,NI,128,1,0,99.2,0.8,0
N00000282,18770,Loughries,95BB17,Ards,NI,138,0,0,100,0,0
N00000283,18771,Loughries,95BB17,Ards,NI,146,2,0,98.6,1.4,0
N00000284,18772,Loughries,95BB17,Ards,NI,161,0,0,100,0,0
N00000285,18773,Loughries,95BB17,Ards,NI,126,0,0,100,0,0
N00000286,18774,Millisle,95BB18,Ards,NI,146,3,0,98,2,0
N00000287,18775,Millisle,95BB18,Ards,NI,141,8,0,94.6,5.4,0
N00000288,18776,Millisle,95BB18,Ards,NI,142,1,0,99.3,0.7,0
N00000289,18777,Millisle,95BB18,Ards,NI,204,11,0,94.9,5.1,0
N00000290,18778,Millisle,95BB18,Ards,NI,118,15,0,88.7,11.3,0
N00000291,18779,Millisle,95BB18,Ards,NI,215,1,1,99.1,0.5,0.5
N00000292,18780,Millisle,95BB18,Ards,NI,282,2,1,98.9,0.7,0.4
N00000293,18781,Millisle,95BB18,Ards,NI,162,0,0,100,0,0
N00000294,18782,Millisle,95BB18,Ards,NI,146,0,1,99.3,0,0.7
N00000295,18783,Millisle,95BB18,Ards,NI,157,2,0,98.7,1.3,0
N00000296,18784,Movilla,95BB19,Ards,NI,115,1,0,99.1,0.9,0
N00000297,18785,Movilla,95BB19,Ards,NI,129,3,0,97.7,2.3,0
N00000298,18786,Movilla,95BB19,Ards,NI,120,1,0,99.2,0.8,0
N00000299,18787,Movilla,95BB19,Ards,NI,158,10,0,94,6,0
N00000300,18788,Movilla,95BB19,Ards,NI,123,16,0,88.5,11.5,0
N00000301,18789,Movilla,95BB19,Ards,NI,125,0,0,100,0,0
N00000302,18790,Movilla,95BB19,Ards,NI,128,0,0,100,0,0
N00000303,18791,Movilla,95BB19,Ards,NI,111,0,0,100,0,0
N00000304,18792,Movilla,95BB19,Ards,NI,113,6,0,95,5,0
N00000305,18793,Movilla,95BB19,Ards,NI,122,0,0,100,0,0
N00000306,18794,Movilla,95BB19,Ards,NI,130,0,0,100,0,0
N00000307,18795,Movilla,95BB19,Ards,NI,123,0,0,100,0,0
N00000308,18796,Movilla,95BB19,Ards,NI,110,0,0,100,0,0
N00000309,18797,Movilla,95BB19,Ards,NI,121,6,0,95.3,4.7,0
N00000310,18798,Portaferry,95BB20,Ards,NI,168,0,0,100,0,0
N00000311,18799,Portaferry,95BB20,Ards,NI,166,10,0,94.3,5.7,0
N00000312,18800,Portaferry,95BB20,Ards,NI,197,1,1,99,0.5,0.5
N00000313,18801,Portaferry,95BB20,Ards,NI,199,3,0,98.5,1.5,0
N00000314,18802,Portaferry,95BB20,Ards,NI,138,5,0,96.5,3.5,0
N00000315,18803,Portaferry,95BB20,Ards,NI,135,5,0,96.4,3.6,0
N00000316,18804,Portaferry,95BB20,Ards,NI,131,3,0,97.8,2.2,0
N00000317,18805,Portaferry,95BB20,Ards,NI,215,64,0,77.1,22.9,0
N00000318,18806,Portavogie,95BB21,Ards,NI,141,0,0,100,0,0
N00000319,18807,Portavogie,95BB21,Ards,NI,349,1,0,99.7,0.3,0
N00000320,18808,Portavogie,95BB21,Ards,NI,135,2,0,98.5,1.5,0
N00000321,18809,Portavogie,95BB21,Ards,NI,216,10,0,95.6,4.4,0
N00000322,18810,Portavogie,95BB21,Ards,NI,163,0,0,100,0,0
N00000323,18811,Portavogie,95BB21,Ards,NI,172,1,0,99.4,0.6,0
N00000324,18812,Portavogie,95BB21,Ards,NI,151,49,1,75.1,24.4,0.5
N00000325,18813,Portavogie,95BB21,Ards,NI,238,1,0,99.6,0.4,0
